name,passmark,rank,value,price
128 DDR Radeon 9700 TX w/TV-Out,44,1410,NA,
128MB DDR Radeon 9800 Pro,66,1348,NA,
128MB RADEON X600 SE,49,1393,NA,
15DD,1633,325,NA,
256MB RADEON X600,67,1340,NA,
7900 MOD - Radeon HD 6520G,610,791,NA,
A6 Micro-6500T Quad-Core APU with RadeonR4,220,1084,NA,
ABIT Siluro T400,3,1608,NA,
ALL-IN-WONDER 9000,4,1580,NA,
ALL-IN-WONDER RADEON 8500DV,5,1574,NA,
All-in-Wonder X1900,127,1191,NA,
ALL-IN-WONDER X800 GT,84,1295,NA,
ASUS EAH4870x2,496,904,NA,
Barco MXRT 5400,1161,428,NA,
Barco MXRT 5450,992,499,NA,
Barco MXRT 7500,4319,138,NA,
Chell 1.7b for Intel 945G,9,1534,NA,
Chell 1.7b for Intel G33/G31,16,1513,NA,
Chell 1.7b for Intel GMA 3150,4,1588,NA,
Chell 1.7b for Mobile Intel 945,6,1548,NA,
Chell 1.8a for Mobile Intel 965,22,1493,NA,
Chell 1.8b for Intel 945G,1,1658,NA,
Chell 1.8b for Intel G33/G31,7,1546,NA,
Chell 1.8b for Mobile Intel 945,2,1649,NA,
Chell 1.8b for Mobile Intel 965,14,1517,NA,
Chipset Intel G41 Express,57,1374,NA,
DameWare Development Mirror Driver 64-bit,1653,320,NA,
Device,3545,165,NA,
EAH6450,264,1052,NA,
Embedded Radeon E9173,1996,278,NA,
Famille de jeu de puces Express Intel 946GZ,7,1541,NA,
FireGL T2-128,30,1463,NA,
FireGL V3100,52,1380,NA,
FireGL V3200,84,1292,NA,
FireGL V3300,70,1331,NA,
FireGL V3350,66,1341,NA,
FireGL V3400,103,1244,NA,
FireGL V3600,179,1138,1.12,160.99
FireGL V5100,92,1274,NA,
FireGL V5200,114,1214,NA,
FireGL V5600,341,996,NA,
FireGL V7200,113,1215,NA,
FireGL V7300,128,1189,0.11,1189.99
FireGL V7350,110,1227,0.07,1523.99
FireGL V7600,615,785,NA,
FireGL V7700,660,740,3.77,174.99
FireGL V8650,550,853,1.67,329.99
FireGL X1,59,1366,NA,
FireMV 2200 PCIe,36,1438,0.40,89.99
FireMV 2250,45,1403,0.43,105.99
FireMV 2260,117,1207,1.12,104.99
FireMV 2400 PCIe,13,1518,NA,
FirePro 2260,113,1220,NA,
FirePro 2270,226,1081,2.16,105.06
FirePro 2450,51,1384,0.18,278.0
FirePro 2460,215,1088,0.80,269.99
FirePro 3D V3700,184,1132,2.17,84.99
FirePro 3D V3750,343,994,6.75,50.88
FirePro 3D V3800,475,915,3.17,149.99
FirePro 3D V4800,1163,427,7.27,159.99
FirePro 3D V5700,546,861,1.71,319.99
FirePro 3D V5800,1465,350,3.96,369.99
FirePro 3D V7750,540,872,1.54,350.0
FirePro 3D V7800,1809,301,3.02,599.99
FirePro 3D V8700,1198,416,5.99,199.99
FirePro 3D V8750,1271,397,1.03,1230.99
FirePro 3D V8800,2473,229,5.82,424.99
FirePro 3D V9800,2811,214,1.13,2499.0
FirePro M2000,615,786,NA,
FirePro M4000,1609,329,NA,
FirePro M4000 Mobility Pro,1694,316,NA,
FirePro M40003,1364,371,NA,
Firepro M4100,1059,464,NA,
FirePro M4150,1113,447,NA,
FirePro M4170,1086,453,NA,
FirePro M5100,2102,263,NA,
FirePro M5950,1314,383,NA,
FirePro M6000 Mobility Pro,1711,311,NA,
FirePro M6100,2976,204,NA,
FirePro M7740,661,739,NA,
FirePro S7000,4166,145,NA,
FirePro S9000,5022,110,NA,
FirePro V3900,871,567,6.70,129.99
FirePro V4900,1303,386,8.99,144.99
FirePro V5700,464,926,NA,
FirePro V5900,1526,345,4.77,319.99
FirePro V7000 Adapter,3161,189,NA,
FirePro V7900,2717,218,22.65,119.99
FirePro V9800 Adapter,2741,216,NA,
FirePro W2100,900,552,7.90,113.99
FirePro W4100,1592,335,9.95,159.99
FirePro W4100 Adapter,1698,315,NA,
FirePro W4170M,1371,368,NA,
Firepro W4190M,1280,393,NA,
FirePro W4300,2894,207,12.06,239.99
FirePro W5000,3083,196,7.11,434.0
FirePro W5100,3009,202,10.78,279.13
FirePro W5130M,1628,326,NA,
Firepro W5170M,2217,252,NA,
FirePro W600,1734,309,5.42,319.99
FirePro W7000,4295,140,7.54,569.99
FirePro W7000 Adapter,4084,148,NA,
FirePro W7100,5400,100,18.62,289.99
FirePro W7100 Adapter,5661,94,NA,
FirePro W7170M,4643,123,NA,
FirePro W8000,4522,125,4.31,1048.99
FirePro W8000 Adapter,4751,116,NA,
FirePro W8100,6066,84,5.78,1049.0
FirePro W9000,5403,99,1.57,3443.99
FirePro W9100,7189,73,2.61,2749.99
FireStream 9250,1164,426,NA,
FireStream 9270,1341,377,NA,
GeForce 205,126,1194,NA,
GeForce 210,172,1143,4.92,34.99
GeForce 256,5,1577,0.12,42.04
GeForce 305M,190,1125,NA,
GeForce 310,202,1109,1.87,108.35
GeForce 310M,210,1098,NA,
GeForce 315,249,1066,7.57,32.99
GeForce 315M,208,1100,NA,
GeForce 320M,272,1044,NA,
GeForce 405,212,1093,8.61,24.64
GeForce 410M,350,991,NA,
GeForce 505,191,1124,NA,
GeForce 510,310,1017,4.44,69.99
GeForce 605,320,1008,3.27,97.99
GeForce 6100,21,1499,NA,
GeForce 6100 nForce 400,25,1480,NA,
GeForce 6100 nForce 405,22,1496,NA,
GeForce 6100 nForce 420,25,1481,NA,
GeForce 6100 nForce 430,23,1491,NA,
GeForce 610M,404,962,NA,
GeForce 615,548,855,NA,
GeForce 6150,21,1497,0.15,149.99
GeForce 6150 LE,21,1500,NA,
GeForce 6150SE,24,1486,NA,
GeForce 6150SE nForce 430,22,1492,NA,
GeForce 6200,44,1409,1.11,39.99
GeForce 6200 A-LE,32,1457,NA,
GeForce 6200 LE,26,1476,0.65,41.24
GeForce 6200 TurboCache,39,1429,NA,
GeForce 6200SE TurboCache,29,1467,NA,
GeForce 6500,37,1434,NA,
GeForce 6600,62,1355,NA,
GeForce 6600 GT,102,1246,1.57,64.95
GeForce 6600 LE,51,1383,NA,
GeForce 6610 XL,88,1288,NA,
GeForce 6700 XL,98,1256,NA,
GeForce 6800,112,1223,2.82,39.99
GeForce 6800 GS,136,1180,NA,
