model,release,cpu,gpu,ram,ram_type,storage,price_usd,price_hkd
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i5-7360U @ 2.30GHz,Intel Iris Plus 640,8,2133 MHz PC3-17000 LPDDR3 SDRAM,128,1299,9988
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i7-7660U @ 2.50GHz,Intel Iris Plus 640,8,2133 MHz PC3-17000 LPDDR3 SDRAM,128,,12328
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i5-7360U @ 2.30GHz,Intel Iris Plus 640,16,2133 MHz PC3-17000 LPDDR3 SDRAM,128,,11548
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i7-7660U @ 2.50GHz,Intel Iris Plus 640,16,2133 MHz PC3-17000 LPDDR3 SDRAM,128,,13888
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i5-7360U @ 2.30GHz,Intel Iris Plus 640,8,2133 MHz PC3-17000 LPDDR3 SDRAM,256,,11488
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i7-7660U @ 2.50GHz,Intel Iris Plus 640,8,2133 MHz PC3-17000 LPDDR3 SDRAM,256,,13828
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i5-7360U @ 2.30GHz,Intel Iris Plus 640,16,2133 MHz PC3-17000 LPDDR3 SDRAM,256,,13048
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i7-7660U @ 2.50GHz,Intel Iris Plus 640,16,2133 MHz PC3-17000 LPDDR3 SDRAM,256,,15388
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i5-7360U @ 2.30GHz,Intel Iris Plus 640,8,2133 MHz PC3-17000 LPDDR3 SDRAM,512,,12988
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i7-7660U @ 2.50GHz,Intel Iris Plus 640,8,2133 MHz PC3-17000 LPDDR3 SDRAM,512,,15328
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i5-7360U @ 2.30GHz,Intel Iris Plus 640,16,2133 MHz PC3-17000 LPDDR3 SDRAM,512,,14548
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i7-7660U @ 2.50GHz,Intel Iris Plus 640,16,2133 MHz PC3-17000 LPDDR3 SDRAM,512,,16888
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i5-7360U @ 2.30GHz,Intel Iris Plus 640,8,2133 MHz PC3-17000 LPDDR3 SDRAM,1024,,15988
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i7-7660U @ 2.50GHz,Intel Iris Plus 640,8,2133 MHz PC3-17000 LPDDR3 SDRAM,1024,,18328
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i5-7360U @ 2.30GHz,Intel Iris Plus 640,16,2133 MHz PC3-17000 LPDDR3 SDRAM,1024,,17548
MacBook Pro 13-inch model two Thunderbolt 3 ports,2017-06-06,Intel Core i7-7660U @ 2.50GHz,Intel Iris Plus 640,16,2133 MHz PC3-17000 LPDDR3 SDRAM,1024,,19888
MacBook Pro 13-inch model with Touch Bar,2017-06-06,Intel Core i5-7267U @ 3.10GHz,Intel Iris Plus 650,8,2133 MHz PC3-17000 LPDDR3 SDRAM,256,,
